recording_id,outer_fold,model,alpha,inner_fold,mean_r2,n_validation_samples,selected
GROUP,0,M5_full,1.0,mean,0.33291142136441515,148750,False
GROUP,0,M5_full,10.0,0,0.3493152527746999,32130,False
GROUP,0,M5_full,10.0,1,0.40223562365307486,32130,False
GROUP,0,M5_full,10.0,2,0.2440831687615469,42840,False
GROUP,0,M5_full,10.0,3,0.35829943950731247,41650,False
GROUP,0,M5_full,10.0,mean,0.33295478497377234,148750,False
GROUP,0,M5_full,100.0,0,0.349737964271861,32130,False
GROUP,0,M5_full,100.0,1,0.40271247146642697,32130,False
GROUP,0,M5_full,100.0,2,0.24445492568430827,42840,False
GROUP,0,M5_full,100.0,3,0.35858448527717224,41650,False
GROUP,0,M5_full,100.0,mean,0.33333596859415926,148750,False
GROUP,0,M5_full,1000.0,0,0.35274004259877234,32130,False
GROUP,0,M5_full,1000.0,1,0.40619155770749704,32130,False
GROUP,0,M5_full,1000.0,2,0.24655998360433262,42840,False
GROUP,0,M5_full,1000.0,3,0.36072264008159316,41650,False
GROUP,0,M5_full,1000.0,mean,0.33594084016704806,148750,True
GROUP,1,M1_mel,0.001,0,0.38947585692524633,42840,False
GROUP,1,M1_mel,0.001,1,0.277124147618492,32130,False
GROUP,1,M1_mel,0.001,2,0.16056167242786823,42840,False
GROUP,1,M1_mel,0.001,3,0.3974194322669836,41650,False
GROUP,1,M1_mel,0.001,mean,0.3074133072519092,159460,False
GROUP,1,M1_mel,0.01,0,0.3894758819871462,42840,False
GROUP,1,M1_mel,0.01,1,0.2771242188971573,32130,False
GROUP,1,M1_mel,0.01,2,0.16056171088709692,42840,False
GROUP,1,M1_mel,0.01,3,0.3974194434621028,41650,False
GROUP,1,M1_mel,0.01,mean,0.3074133416035045,159460,False
GROUP,1,M1_mel,0.1,0,0.3894761325198851,42840,False
GROUP,1,M1_mel,0.1,1,0.2771249314784543,32130,False
GROUP,1,M1_mel,0.1,2,0.16056209534396781,42840,False
GROUP,1,M1_mel,0.1,3,0.39741955534666484,41650,False
GROUP,1,M1_mel,0.1,mean,0.3074136850011212,159460,False
GROUP,1,M1_mel,1.0,0,0.3894786293761844,42840,False
GROUP,1,M1_mel,1.0,1,0.27713203701476663,32130,False
GROUP,1,M1_mel,1.0,2,0.16056592651351387,42840,False
GROUP,1,M1_mel,1.0,3,0.39742066764763706,41650,False
GROUP,1,M1_mel,1.0,mean,0.3074171073066801,159460,False
GROUP,1,M1_mel,10.0,0,0.38950287551462415,42840,False
GROUP,1,M1_mel,10.0,1,0.2772012860723636,32130,False
GROUP,1,M1_mel,10.0,2,0.16060302693678363,42840,False
GROUP,1,M1_mel,10.0,3,0.3974312326405013,41650,False
GROUP,1,M1_mel,10.0,mean,0.3074503011538959,159460,False
GROUP,1,M1_mel,100.0,0,0.38971346853717026,42840,False
GROUP,1,M1_mel,100.0,1,0.27780202185991876,32130,False
GROUP,1,M1_mel,100.0,2,0.16090789960869356,42840,False
GROUP,1,M1_mel,100.0,3,0.3975132685495374,41650,False
GROUP,1,M1_mel,100.0,mean,0.30773125554255754,159460,False
GROUP,1,M1_mel,1000.0,0,0.3912102127506727,42840,False
GROUP,1,M1_mel,1000.0,1,0.2821009816627017,32130,False
GROUP,1,M1_mel,1000.0,2,0.1627104269716394,42840,False
GROUP,1,M1_mel,1000.0,3,0.3980049696943272,41650,False
GROUP,1,M1_mel,1000.0,mean,0.3096122647328181,159460,True
GROUP,1,M2_mel_syl,0.001,0,0.40387735327232577,42840,False
GROUP,1,M2_mel_syl,0.001,1,0.36077134653481313,32130,False
GROUP,1,M2_mel_syl,0.001,2,0.2614211516603234,42840,False
GROUP,1,M2_mel_syl,0.001,3,0.40598588834554983,41650,False
GROUP,1,M2_mel_syl,0.001,mean,0.35747073601574303,159460,False
GROUP,1,M2_mel_syl,0.01,0,0.4038773842738429,42840,False
GROUP,1,M2_mel_syl,0.01,1,0.3607713763016366,32130,False
GROUP,1,M2_mel_syl,0.01,2,0.2614211721807077,42840,False
GROUP,1,M2_mel_syl,0.01,3,0.40598590804778023,41650,False
GROUP,1,M2_mel_syl,0.01,mean,0.35747076100134567,159460,False
GROUP,1,M2_mel_syl,0.1,0,0.40387769420069375,42840,False
GROUP,1,M2_mel_syl,0.1,1,0.3607716738869361,32130,False
GROUP,1,M2_mel_syl,0.1,2,0.2614213772629337,42840,False
GROUP,1,M2_mel_syl,0.1,3,0.4059861049931285,41650,False
GROUP,1,M2_mel_syl,0.1,mean,0.3574710107641594,159460,False
GROUP,1,M2_mel_syl,1.0,0,0.40388078479606226,42840,False
GROUP,1,M2_mel_syl,1.0,1,0.36077464154861205,32130,False
GROUP,1,M2_mel_syl,1.0,2,0.2614234160719048,42840,False
GROUP,1,M2_mel_syl,1.0,3,0.4059880668989172,41650,False
GROUP,1,M2_mel_syl,1.0,mean,0.35747349921284655,159460,False
GROUP,1,M2_mel_syl,10.0,0,0.4039109505757622,42840,False
GROUP,1,M2_mel_syl,10.0,1,0.3608035858292561,32130,False
GROUP,1,M2_mel_syl,10.0,2,0.2614427275814406,42840,False
GROUP,1,M2_mel_syl,10.0,3,0.4060070502767551,41650,False
GROUP,1,M2_mel_syl,10.0,mean,0.3574975820204152,159460,False
GROUP,1,M2_mel_syl,100.0,0,0.40417923760671803,42840,False
GROUP,1,M2_mel_syl,100.0,1,0.36105515017075696,32130,False
GROUP,1,M2_mel_syl,100.0,2,0.2615790971365073,42840,False
GROUP,1,M2_mel_syl,100.0,3,0.4061706388052325,41650,False
GROUP,1,M2_mel_syl,100.0,mean,0.3576997124145499,159460,False
GROUP,1,M2_mel_syl,1000.0,0,0.4061417128551752,42840,False
GROUP,1,M2_mel_syl,1000.0,1,0.3628650517601508,32130,False
